,country,year,cause,Deaths,DALYs,Incidence,income_level,income_level_mode,gdp,health_exp
3165,Sri Lanka,1991,Cardiovascular diseases,333.3169288907525,7202.738133894644,660.61336901944,L,LM,546.292515570886,
3166,Sri Lanka,1991,Chronic respiratory diseases,93.41577654708917,2140.130546118302,1205.7102535277,L,LM,546.292515570886,
3167,Sri Lanka,1991,Environmental heat and cold exposure,1.351843795207292,70.5656957183882,88.35786002534999,L,LM,546.292515570886,
3168,Sri Lanka,1992,Cardiovascular diseases,325.0425147863177,6965.3063850045455,658.39655577464,L,LM,579.655117618283,
3169,Sri Lanka,1992,Chronic respiratory diseases,92.61138290272513,2119.389945309945,1201.96715007947,L,LM,579.655117618283,
3170,Sri Lanka,1992,Environmental heat and cold exposure,1.2962763826499166,67.88069566153662,91.04359701171,L,LM,579.655117618283,
3171,Sri Lanka,1993,Cardiovascular diseases,325.09092524768147,6931.640275601526,656.22728704442,L,LM,607.231847102846,
3172,Sri Lanka,1993,Chronic respiratory diseases,89.2524644451496,2066.850964205001,1198.77344885735,L,LM,607.231847102846,
3173,Sri Lanka,1993,Environmental heat and cold exposure,1.2230992939432812,64.77366301529645,93.21251846453,L,LM,607.231847102846,
3174,Sri Lanka,1994,Cardiovascular diseases,326.52011887271067,6987.3003957141145,654.43971727441,L,LM,678.268012020205,
3175,Sri Lanka,1994,Chronic respiratory diseases,89.55876483431713,2090.725978015965,1196.8067251611,L,LM,678.268012020205,
3176,Sri Lanka,1994,Environmental heat and cold exposure,1.2151259841316973,64.676482049318,94.71504222043,L,LM,678.268012020205,
3177,Sri Lanka,1995,Cardiovascular diseases,324.19963431961224,7000.1310033964055,652.64520851919,L,LM,741.838255293455,
3178,Sri Lanka,1995,Chronic respiratory diseases,89.24206678777018,2099.127975154276,1196.1999356108402,L,LM,741.838255293455,
3179,Sri Lanka,1995,Environmental heat and cold exposure,1.201456379828435,63.96852229258996,95.32241841913,L,LM,741.838255293455,
3180,Sri Lanka,1996,Cardiovascular diseases,332.53051094703886,7271.506602088358,651.3284951398699,L,LM,776.192371057587,
3181,Sri Lanka,1996,Chronic respiratory diseases,89.96622964137724,2130.323906190811,1196.3505920249202,L,LM,776.192371057587,
3182,Sri Lanka,1996,Environmental heat and cold exposure,1.2223248615547615,65.34200151536707,95.37430113748,L,LM,776.192371057587,
3183,Sri Lanka,1997,Cardiovascular diseases,326.00790439522507,7122.218708239285,649.51034319806,LM,LM,827.035756058631,
3184,Sri Lanka,1997,Chronic respiratory diseases,91.86539403858828,2170.9428637193423,1195.8682282231898,LM,LM,827.035756058631,
3185,Sri Lanka,1997,Environmental heat and cold exposure,1.2372020087873037,65.50493066612347,95.26919089433,LM,LM,827.035756058631,
3186,Sri Lanka,1998,Cardiovascular diseases,325.8199703149164,7109.016055399758,647.39885739518,LM,LM,847.533577843861,
3187,Sri Lanka,1998,Chronic respiratory diseases,90.98401524179631,2143.3154449236445,1195.14789931215,LM,LM,847.533577843861,
3188,Sri Lanka,1998,Environmental heat and cold exposure,1.2293501470534929,64.73514635297435,95.04149239512,LM,LM,847.533577843861,
3189,Sri Lanka,1999,Cardiovascular diseases,320.127493508229,6951.896961898701,645.74179479903,LM,LM,829.356379527539,
3190,Sri Lanka,1999,Chronic respiratory diseases,91.38713802418695,2144.4065122895004,1194.81827074759,LM,LM,829.356379527539,
